vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,mesin berdecit,v-belt aus,Periksa v-belt untuk retakan,Ganti v-belt,Bawa ke bengkel untuk pemeriksaan pulley
motor,stang berat saat belok,bearing stang kotor,Periksa bearing stang dan bersihkan,Lumasi bearing stang,Ganti bearing stang di bengkel
mobil,lampu sein berkedip cepat,bohlam sein putus,Periksa bohlam sein,Ganti bohlam sein,Periksa flasher di bengkel
motor,mesin overheat,oli mesin kurang,Periksa level oli mesin,Isi ulang oli mesin,Ganti oli dan periksa kebocoran di bengkel
mobil,rem kurang pakem,kanvas rem aus,Periksa ketebalan kanvas rem,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,lampu rem tidak menyala,kabel rem putus,Periksa kabel rem,Ganti kabel rem,Bawa ke bengkel untuk pemeriksaan switch rem
mobil,mesin sulit distarter,starter motor lemah,Periksa koneksi kabel starter,Ganti relay starter,Bawa ke bengkel untuk ganti starter motor
motor,mesin bergetar hebat,kopling aus,Periksa kopling saat mesin hidup,Setel kopling,Ganti pelat kopling di bengkel
mobil,ac tidak dingin,kompresor AC macet,Periksa sekring kompresor AC,Ganti sekring kompresor AC,Bawa ke bengkel untuk ganti kompresor AC
motor,ban kempes,ban bocor,Periksa ban untuk lubang,Tambal ban dengan kit tambal,Ganti ban dalam di bengkel
mobil,mesin tersendat,filter bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan pompa bahan bakar
motor,lampu depan mati,bohlam lampu putus,Periksa bohlam lampu depan,Ganti bohlam lampu depan,Periksa kabel lampu di bengkel
mobil,rem berdecit,kanvas rem kotor,Periksa kanvas rem dan bersihkan,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,mesin mati saat digas,busi rusak,Periksa busi dan bersihkan,Ganti busi,Bawa ke bengkel untuk pemeriksaan subsistem pengapian
mobil,mesin overheat,thermostat macet,Periksa level air radiator,Isi ulang air radiator,Ganti thermostat di bengkel
motor,rantai berisik,rantai kendor,Setel kekencangan rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,ac berisik,belt AC kendor,Periksa kekencangan belt AC,Setel belt AC,Ganti belt AC di bengkel
motor,mesin sulit menyala,karburator kotor,Bersihkan karburator,Ganti jarum karburator,Bawa ke bengkel untuk servis karburator
mobil,kemudi berat,cairan power steering kurang,Periksa level cairan power steering,Isi ulang cairan power steering,Periksa pompa power steering di bengkel
motor,lampu sein tidak menyala,flasher rusak,Periksa flasher,Ganti flasher,Periksa kabel sein di bengkel
mobil,mesin berasap hitam,injektor kotor,Bersihkan injektor dengan cairan pembersih,Ganti injektor,Bawa ke bengkel untuk servis sistem bahan bakar
motor,rem blong,master rem rusak,Periksa master rem,Ganti seal master rem,Bawa ke bengkel untuk ganti master rem
mobil,mesin mati mendadak,ECU error,Periksa kode error dengan alat scan,Reset ECU,Bawa ke bengkel untuk perbaikan ECU
motor,stang goyang,pelek bengkok,Periksa pelek untuk kerusakan,Balance roda,Ganti pelek di bengkel
mobil,ac tidak merata,ventilasi tersumbat,Periksa ventilasi AC,Bersihkan ventilasi AC,Lakukan servis sistem AC di bengkel
motor,mesin tersendat,bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan karburator
mobil,mesin bergetar,sensor throttle rusak,Periksa koneksi sensor throttle,Reset ECU,Ganti sensor throttle di bengkel
motor,ban bergetar,roda tidak seimbang,Periksa tekanan angin ban,Balance roda,Ganti pelek di bengkel
mobil,lampu dashboard mati,sekring dashboard putus,Periksa sekring dashboard,Ganti sekring dashboard,Periksa kabel dashboard di bengkel
motor,mesin mati saat hujan,kabel busi basah,Keringkan kabel busi,Ganti kabel busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,rem spongy,udara di saluran rem,Periksa level minyak rem,Bleed sistem rem,Bawa ke bengkel untuk pemeriksaan master rem
motor,lampu rem redup,bohlam rem lemah,Periksa bohlam rem,Ganti bohlam rem,Periksa kabel rem di bengkel
mobil,mesin sulit distarter,aki lemah,Periksa koneksi aki,Bersihkan terminal aki,Ganti aki di bengkel
motor,mesin bergetar,kopling slip,Setel kopling,Ganti pelat kopling,Bawa ke bengkel untuk pemeriksaan kopling
mobil,ac berbau,filter kabin kotor,Periksa filter kabin,Ganti filter kabin,Lakukan pembersihan sistem AC di bengkel
motor,rantai putus,rantai aus,Periksa kondisi rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,mesin tersendat,sensor oksigen rusak,Periksa kode error dengan alat scan,Reset ECU,Ganti sensor oksigen di bengkel
motor,mesin overheat,kipas radiator mati,Periksa sekring kipas radiator,Ganti sekring kipas radiator,Bawa ke bengkel untuk ganti motor kipas
mobil,kemudi bergetar,roda depan tidak seimbang,Periksa tekanan angin ban,Lakukan balancing roda,Ganti pelek atau ban di bengkel
motor,lampu depan redup,regulator tegangan rusak,Periksa output regulator,Ganti regulator tegangan,Bawa ke bengkel untuk pemeriksaan alternator
mobil,mesin berasap putih,head gasket bocor,Periksa level oli dan air radiator,Kurangi oli jika berlebih,Bawa ke bengkel untuk ganti head gasket
motor,rem blong,selang rem tersumbat,Periksa selang rem,Ganti selang rem,Bawa ke bengkel untuk pemeriksaan master rem
mobil,ac berbau apek,evaporator kotor,Bersihkan evaporator dengan semprotan pembersih,Lakukan pembersihan evaporator di bengkel,Ganti evaporator jika masih bau
motor,mesin tersendat saat idle,karburator tidak seimbang,Setel karburator,Bersihkan karburator,Ganti karburator di bengkel
mobil,mesin berdecit,v-belt aus,Periksa v-belt untuk retakan,Ganti v-belt,Bawa ke bengkel untuk pemeriksaan pulley
motor,stang berat saat belok,bearing stang kotor,Periksa bearing stang dan bersihkan,Lumasi bearing stang,Ganti bearing stang di bengkel
mobil,lampu sein berkedip cepat,bohlam sein putus,Periksa bohlam sein,Ganti bohlam sein,Periksa flasher di bengkel
motor,mesin overheat,oli mesin kurang,Periksa level oli mesin,Isi ulang oli mesin,Ganti oli dan periksa kebocoran di bengkel
mobil,rem kurang pakem,kanvas rem aus,Periksa ketebalan kanvas rem,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,lampu rem tidak menyala,kabel rem putus,Periksa kabel rem,Ganti kabel rem,Bawa ke bengkel untuk pemeriksaan switch rem
mobil,mesin sulit distarter,starter motor lemah,Periksa koneksi kabel starter,Ganti relay starter,Bawa ke bengkel untuk ganti starter motor
motor,mesin bergetar hebat,kopling aus,Periksa kopling saat mesin hidup,Setel kopling,Ganti pelat kopling di bengkel
mobil,ac tidak dingin,kompresor AC macet,Periksa sekring kompresor AC,Ganti sekring kompresor AC,Bawa ke bengkel untuk ganti kompresor AC
motor,ban kempes,ban bocor,Periksa ban untuk lubang,Tambal ban dengan kit tambal,Ganti ban dalam di bengkel
mobil,mesin tersendat,filter bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan pompa bahan bakar
motor,lampu depan mati,bohlam lampu putus,Periksa bohlam lampu depan,Ganti bohlam lampu depan,Periksa kabel lampu di bengkel
mobil,rem berdecit,kanvas rem kotor,Periksa kanvas rem dan bersihkan,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,mesin mati saat digas,busi rusak,Periksa busi dan bersihkan,Ganti busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,mesin overheat,thermostat macet,Periksa level air radiator,Isi ulang air radiator,Ganti thermostat di bengkel
motor,rantai berisik,rantai kendor,Setel kekencangan rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,ac berisik,belt AC kendor,Periksa kekencangan belt AC,Setel belt AC,Ganti belt AC di bengkel
motor,mesin sulit menyala,karburator kotor,Bersihkan karburator,Ganti jarum karburator,Bawa ke bengkel untuk servis karburator
mobil,kemudi berat,cairan power steering kurang,Periksa level cairan power steering,Isi ulang cairan power steering,Periksa pompa power steering di bengkel
motor,lampu sein tidak menyala,flasher rusak,Periksa flasher,Ganti flasher,Periksa kabel sein di bengkel
mobil,mesin berasap hitam,injektor kotor,Bersihkan injektor dengan cairan pembersih,Ganti injektor,Bawa ke bengkel untuk servis sistem bahan bakar
motor,rem blong,master rem rusak,Periksa master rem,Ganti seal master rem,Bawa ke bengkel untuk ganti master rem
mobil,mesin mati mendadak,ECU error,Periksa kode error dengan alat scan,Reset ECU,Bawa ke bengkel untuk perbaikan ECU
motor,stang goyang,pelek bengkok,Periksa pelek untuk kerusakan,Balance roda,Ganti pelek di bengkel
mobil,ac tidak merata,ventilasi tersumbat,Periksa ventilasi AC,Bersihkan ventilasi AC,Lakukan servis sistem AC di bengkel
motor,mesin tersendat,bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan karburator
mobil,mesin bergetar,sensor throttle rusak,Periksa koneksi sensor throttle,Reset ECU,Ganti sensor throttle di bengkel
motor,ban bergetar,roda tidak seimbang,Periksa tekanan angin ban,Balance roda,Ganti pelek di bengkel
mobil,lampu dashboard mati,sekring dashboard putus,Periksa sekring dashboard,Ganti sekring dashboard,Periksa kabel dashboard di bengkel
motor,mesin mati saat hujan,kabel busi basah,Keringkan kabel busi,Ganti kabel busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,rem spongy,udara di saluran rem,Periksa level minyak rem,Bleed sistem rem,Bawa ke bengkel untuk pemeriksaan master rem
motor,lampu rem redup,bohlam rem lemah,Periksa bohlam rem,Ganti bohlam rem,Periksa kabel rem di bengkel
mobil,mesin sulit distarter,aki lemah,Periksa koneksi aki,Bersihkan terminal aki,Ganti aki di bengkel
motor,mesin bergetar,kopling slip,Setel kopling,Ganti pelat kopling,Bawa ke bengkel untuk pemeriksaan kopling
mobil,ac berbau,filter kabin kotor,Periksa filter kabin,Ganti filter kabin,Lakukan pembersihan sistem AC di bengkel
motor,rantai putus,rantai aus,Periksa kondisi rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,mesin tersendat,sensor oksigen rusak,Periksa kode error dengan alat scan,Reset ECU,Ganti sensor oksigen di bengkel
motor,mesin overheat,kipas radiator mati,Periksa sekring kipas radiator,Ganti sekring kipas radiator,Bawa ke bengkel untuk ganti motor kipas
mobil,kemudi bergetar,roda depan tidak seimbang,Periksa tekanan angin ban,Lakukan balancing roda,Ganti pelek atau ban di bengkel
motor,lampu depan redup,regulator tegangan rusak,Periksa output regulator,Ganti regulator tegangan,Bawa ke bengkel untuk pemeriksaan alternator
mobil,mesin berasap putih,head gasket bocor,Periksa level oli dan air radiator,Kurangi oli jika berlebih,Bawa ke bengkel untuk ganti head gasket
motor,rem blong,selang rem tersumbat,Periksa selang rem,Ganti selang rem,Bawa ke bengkel untuk pemeriksaan master rem
mobil,ac berbau apek,evaporator kotor,Bersihkan evaporator dengan semprotan pembersih,Lakukan pembersihan evaporator di bengkel,Ganti evaporator jika masih bau
motor,mesin tersendat saat idle,karburator tidak seimbang,Setel karburator,Bersihkan karburator,Ganti karburator di bengkel
mobil,mesin berdecit,v-belt aus,Periksa v-belt untuk retakan,Ganti v-belt,Bawa ke bengkel untuk pemeriksaan pulley
motor,stang berat saat belok,bearing stang kotor,Periksa bearing stang dan bersihkan,Lumasi bearing stang,Ganti bearing stang di bengkel
mobil,lampu sein berkedip cepat,bohlam sein putus,Periksa bohlam sein,Ganti bohlam sein,Periksa flasher di bengkel
motor,mesin overheat,oli mesin kurang,Periksa level oli mesin,Isi ulang oli mesin,Ganti oli dan periksa kebocoran di bengkel
mobil,rem kurang pakem,kanvas rem aus,Periksa ketebalan kanvas rem,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,lampu rem tidak menyala,kabel rem putus,Periksa kabel rem,Ganti kabel rem,Bawa ke bengkel untuk pemeriksaan switch rem
mobil,mesin sulit distarter,starter motor lemah,Periksa koneksi kabel starter,Ganti relay starter,Bawa ke bengkel untuk ganti starter motor
motor,mesin bergetar hebat,kopling aus,Periksa kopling saat mesin hidup,Setel kopling,Ganti pelat kopling di bengkel
mobil,ac tidak dingin,kompresor AC macet,Periksa sekring kompresor AC,Ganti sekring kompresor AC,Bawa ke bengkel untuk ganti kompresor AC
motor,ban kempes,ban bocor,Periksa ban untuk lubang,Tambal ban dengan kit tambal,Ganti ban dalam di bengkel
mobil,mesin tersendat,filter bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan pompa bahan bakar
motor,lampu depan mati,bohlam lampu putus,Periksa bohlam lampu depan,Ganti bohlam lampu depan,Periksa kabel lampu di bengkel
mobil,rem berdecit,kanvas rem kotor,Periksa kanvas rem dan bersihkan,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,mesin mati saat digas,busi rusak,Periksa busi dan bersihkan,Ganti busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,mesin overheat,thermostat macet,Periksa level air radiator,Isi ulang air radiator,Ganti thermostat di bengkel
motor,rantai berisik,rantai kendor,Setel kekencangan rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,ac berisik,belt AC kendor,Periksa kekencangan belt AC,Setel belt AC,Ganti belt AC di bengkel
motor,mesin sulit menyala,karburator kotor,Bersihkan karburator,Ganti jarum karburator,Bawa ke bengkel untuk servis karburator
mobil,kemudi berat,cairan power steering kurang,Periksa level cairan power steering,Isi ulang cairan power steering,Periksa pompa power steering di bengkel
motor,lampu sein tidak menyala,flasher rusak,Periksa flasher,Ganti flasher,Periksa kabel sein di bengkel
mobil,mesin berasap hitam,injektor kotor,Bersihkan injektor dengan cairan pembersih,Ganti injektor,Bawa ke bengkel untuk servis sistem bahan bakar
motor,rem blong,master rem rusak,Periksa master rem,Ganti seal master rem,Bawa ke bengkel untuk ganti master rem
mobil,mesin mati mendadak,ECU error,Periksa kode error dengan alat scan,Reset ECU,Bawa ke bengkel untuk perbaikan ECU
motor,stang goyang,pelek bengkok,Periksa pelek untuk kerusakan,Balance roda,Ganti pelek di bengkel
mobil,ac tidak merata,ventilasi tersumbat,Periksa ventilasi AC,Bersihkan ventilasi AC,Lakukan servis sistem AC di bengkel
motor,mesin tersendat,bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan karburator
mobil,mesin bergetar,sensor throttle rusak,Periksa koneksi sensor throttle,Reset ECU,Ganti sensor throttle di bengkel
motor,ban bergetar,roda tidak seimbang,Periksa tekanan angin ban,Balance roda,Ganti pelek di bengkel
mobil,lampu dashboard mati,sekring dashboard putus,Periksa sekring dashboard,Ganti sekring dashboard,Periksa kabel dashboard di bengkel
motor,mesin mati saat hujan,kabel busi basah,Keringkan kabel busi,Ganti kabel busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,rem spongy,udara di saluran rem,Periksa level minyak rem,Bleed sistem rem,Bawa ke bengkel untuk pemeriksaan master rem
motor,lampu rem redup,bohlam rem lemah,Periksa bohlam rem,Ganti bohlam rem,Periksa kabel rem di bengkel
mobil,mesin sulit distarter,aki lemah,Periksa koneksi aki,Bersihkan terminal aki,Ganti aki di bengkel
motor,mesin bergetar,kopling slip,Setel kopling,Ganti pelat kopling,Bawa ke bengkel untuk pemeriksaan kopling
mobil,ac berbau,filter kabin kotor,Periksa filter kabin,Ganti filter kabin,Lakukan pembersihan sistem AC di bengkel
motor,rantai putus,rantai aus,Periksa kondisi rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,mesin tersendat,sensor oksigen rusak,Periksa kode error dengan alat scan,Reset ECU,Ganti sensor oksigen di bengkel
motor,mesin overheat,kipas radiator mati,Periksa sekring kipas radiator,Ganti sekring kipas radiator,Bawa ke bengkel untuk ganti motor kipas
mobil,kemudi bergetar,roda depan tidak seimbang,Periksa tekanan angin ban,Lakukan balancing roda,Ganti pelek atau ban di bengkel
motor,lampu depan redup,regulator tegangan rusak,Periksa output regulator,Ganti regulator tegangan,Bawa ke bengkel untuk pemeriksaan alternator
mobil,mesin berasap putih,head gasket bocor,Periksa level oli dan air radiator,Kurangi oli jika berlebih,Bawa ke bengkel untuk ganti head gasket
motor,rem blong,selang rem tersumbat,Periksa selang rem,Ganti selang rem,Bawa ke bengkel untuk pemeriksaan master rem
mobil,ac berbau apek,evaporator kotor,Bersihkan evaporator dengan semprotan pembersih,Lakukan pembersihan evaporator di bengkel,Ganti evaporator jika masih bau
motor,mesin tersendat saat idle,karburator tidak seimbang,Setel karburator,Bersihkan karburator,Ganti karburator di bengkel
mobil,mesin berdecit,v-belt aus,Periksa v-belt untuk retakan,Ganti v-belt,Bawa ke bengkel untuk pemeriksaan pulley
motor,stang berat saat belok,bearing stang kotor,Periksa bearing stang dan bersihkan,Lumasi bearing stang,Ganti bearing stang di bengkel
mobil,lampu sein berkedip cepat,bohlam sein putus,Periksa bohlam sein,Ganti bohlam sein,Periksa flasher di bengkel
motor,mesin overheat,oli mesin kurang,Periksa level oli mesin,Isi ulang oli mesin,Ganti oli dan periksa kebocoran di bengkel
mobil,rem kurang pakem,kanvas rem aus,Periksa ketebalan kanvas rem,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,lampu rem tidak menyala,kabel rem putus,Periksa kabel rem,Ganti kabel rem,Bawa ke bengkel untuk pemeriksaan switch rem
mobil,mesin sulit distarter,starter motor lemah,Periksa koneksi kabel starter,Ganti relay starter,Bawa ke bengkel untuk ganti starter motor
motor,mesin bergetar hebat,kopling aus,Periksa kopling saat mesin hidup,Setel kopling,Ganti pelat kopling di bengkel
mobil,ac tidak dingin,kompresor AC macet,Periksa sekring kompresor AC,Ganti sekring kompresor AC,Bawa ke bengkel untuk ganti kompresor AC
motor,ban kempes,ban bocor,Periksa ban untuk lubang,Tambal ban dengan kit tambal,Ganti ban dalam di bengkel
mobil,mesin tersendat,filter bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan pompa bahan bakar
motor,lampu depan mati,bohlam lampu putus,Periksa bohlam lampu depan,Ganti bohlam lampu depan,Periksa kabel lampu di bengkel
mobil,rem berdecit,kanvas rem kotor,Periksa kanvas rem dan bersihkan,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,mesin mati saat digas,busi rusak,Periksa busi dan bersihkan,Ganti busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,mesin overheat,thermostat macet,Periksa level air radiator,Isi ulang air radiator,Ganti thermostat di bengkel
motor,rantai berisik,rantai kendor,Setel kekencangan rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,ac berisik,belt AC kendor,Periksa kekencangan belt AC,Setel belt AC,Ganti belt AC di bengkel
motor,mesin sulit menyala,karburator kotor,Bersihkan karburator,Ganti jarum karburator,Bawa ke bengkel untuk servis karburator
mobil,kemudi berat,cairan power steering kurang,Periksa level cairan power steering,Isi ulang cairan power steering,Periksa pompa power steering di bengkel
motor,lampu sein tidak menyala,flasher rusak,Periksa flasher,Ganti flasher,Periksa kabel sein di bengkel
mobil,mesin berasap hitam,injektor kotor,Bersihkan injektor dengan cairan pembersih,Ganti injektor,Bawa ke bengkel untuk servis sistem bahan bakar
motor,rem blong,master rem rusak,Periksa master rem,Ganti seal master rem,Bawa ke bengkel untuk ganti master rem
mobil,mesin mati mendadak,ECU error,Periksa kode error dengan alat scan,Reset ECU,Bawa ke bengkel untuk perbaikan ECU
motor,stang goyang,pelek bengkok,Periksa pelek untuk kerusakan,Balance roda,Ganti pelek di bengkel
mobil,ac tidak merata,ventilasi tersumbat,Periksa ventilasi AC,Bersihkan ventilasi AC,Lakukan servis sistem AC di bengkel
motor,mesin tersendat,bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan karburator
mobil,mesin bergetar,sensor throttle rusak,Periksa koneksi sensor throttle,Reset ECU,Ganti sensor throttle di bengkel
motor,ban bergetar,roda tidak seimbang,Periksa tekanan angin ban,Balance roda,Ganti pelek di bengkel
mobil,lampu dashboard mati,sekring dashboard putus,Periksa sekring dashboard,Ganti sekring dashboard,Periksa kabel dashboard di bengkel
motor,mesin mati saat hujan,kabel busi basah,Keringkan kabel busi,Ganti kabel busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,rem spongy,udara di saluran rem,Periksa level minyak rem,Bleed sistem rem,Bawa ke bengkel untuk pemeriksaan master rem
motor,lampu rem redup,bohlam rem lemah,Periksa bohlam rem,Ganti bohlam rem,Periksa kabel rem di bengkel
mobil,mesin sulit distarter,aki lemah,Periksa koneksi aki,Bersihkan terminal aki,Ganti aki di bengkel
motor,mesin bergetar,kopling slip,Setel kopling,Ganti pelat kopling,Bawa ke bengkel untuk pemeriksaan kopling
mobil,ac berbau,filter kabin kotor,Periksa filter kabin,Ganti filter kabin,Lakukan pembersihan sistem AC di bengkel
motor,rantai putus,rantai aus,Periksa kondisi rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,mesin tersendat,sensor oksigen rusak,Periksa kode error dengan alat scan,Reset ECU,Ganti sensor oksigen di bengkel
motor,mesin overheat,kipas radiator mati,Periksa sekring kipas radiator,Ganti sekring kipas radiator,Bawa ke bengkel untuk ganti motor kipas
mobil,kemudi bergetar,roda depan tidak seimbang,Periksa tekanan angin ban,Lakukan balancing roda,Ganti pelek atau ban di bengkel
motor,lampu depan redup,regulator tegangan rusak,Periksa output regulator,Ganti regulator tegangan,Bawa ke bengkel untuk pemeriksaan alternator
mobil,mesin berasap putih,head gasket bocor,Periksa level oli dan air radiator,Kurangi oli jika berlebih,Bawa ke bengkel untuk ganti head gasket
motor,rem blong,selang rem tersumbat,Periksa selang rem,Ganti selang rem,Bawa ke bengkel untuk pemeriksaan master rem
mobil,ac berbau apek,evaporator kotor,Bersihkan evaporator dengan semprotan pembersih,Lakukan pembersihan evaporator di bengkel,Ganti evaporator jika masih bau
motor,mesin tersendat saat idle,karburator tidak seimbang,Setel karburator,Bersihkan karburator,Ganti karburator di bengkel
mobil,mesin berdecit,v-belt aus,Periksa v-belt untuk retakan,Ganti v-belt,Bawa ke bengkel untuk pemeriksaan pulley
motor,stang berat saat belok,bearing stang kotor,Periksa bearing stang dan bersihkan,Lumasi bearing stang,Ganti bearing stang di bengkel
mobil,lampu sein berkedip cepat,bohlam sein putus,Periksa bohlam sein,Ganti bohlam sein,Periksa flasher di bengkel
motor,mesin overheat,oli mesin kurang,Periksa level oli mesin,Isi ulang oli mesin,Ganti oli dan periksa kebocoran di bengkel
mobil,rem kurang pakem,kanvas rem aus,Periksa ketebalan kanvas rem,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,lampu rem tidak menyala,kabel rem putus,Periksa kabel rem,Ganti kabel rem,Bawa ke bengkel untuk pemeriksaan switch rem
mobil,mesin sulit distarter,starter motor lemah,Periksa koneksi kabel starter,Ganti relay starter,Bawa ke bengkel untuk ganti starter motor
motor,mesin bergetar hebat,kopling aus,Periksa kopling saat mesin hidup,Setel kopling,Ganti pelat kopling di bengkel
mobil,ac tidak dingin,kompresor AC macet,Periksa sekring kompresor AC,Ganti sekring kompresor AC,Bawa ke bengkel untuk ganti kompresor AC
motor,ban kempes,ban bocor,Periksa ban untuk lubang,Tambal ban dengan kit tambal,Ganti ban dalam di bengkel
mobil,mesin tersendat,filter bahan bakar kotor,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan pompa bahan bakar
motor,lampu depan mati,bohlam lampu putus,Periksa bohlam lampu depan,Ganti bohlam lampu depan,Periksa kabel lampu di bengkel
mobil,rem berdecit,kanvas rem kotor,Periksa kanvas rem dan bersihkan,Ganti kanvas rem,Periksa cakram rem di bengkel
motor,mesin mati saat digas,busi rusak,Periksa busi dan bersihkan,Ganti busi,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,mesin overheat,thermostat macet,Periksa level air radiator,Isi ulang air radiator,Ganti thermostat di bengkel
motor,rantai berisik,rantai kendor,Setel kekencangan rantai,Lumasi rantai,Ganti rantai di bengkel
mobil,ac berisik,belt AC kendor,Periksa kekencangan belt AC,Setel belt AC,Ganti belt AC di bengkel
motor,mesin sulit menyala
