VehicleType,Brand,Year,Mileage,Complaint,DamageLevel,ServiceType,Price,FirstAidSolution
Motorcycle,Yamaha,2006,187134,Mesin overheat,High,Engine Repair,657899,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Toyota,2006,170306,AC tidak dingin,Low,AC Repair,277622,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2019,36855,Suspensi keras,Low,Suspension Repair,271774,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Suzuki,2017,101401,Stir berat,Medium,Power Steering Repair,377531,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Daihatsu,2016,113269,Suspensi keras,Medium,Suspension Repair,439480,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2010,65467,Service rutin,Low,General Checkup,296780,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Honda,2007,131977,Lampu mati,Low,Electrical Repair,129971,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Daihatsu,2010,19126,Baterai soak,Low,Battery Replacement,297547,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2016,67831,Starter tidak berfungsi,Low,Electrical Repair,192628,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2006,25446,Ban bocor,Medium,Tire Service,478965,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2005,57873,Service rutin,Medium,General Checkup,586659,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Honda,2013,170302,Ban bocor,Low,Tire Service,213967,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Honda,2010,17101,Oli bocor,Low,Oil Change,174918,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Daihatsu,2012,152930,Starter tidak berfungsi,Low,Electrical Repair,124062,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Toyota,2009,152087,Oli bocor,High,Oil Change,947749,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Toyota,2009,186045,Suspensi keras,Low,Suspension Repair,207683,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Suzuki,2013,167997,Ban bocor,Low,Tire Service,170210,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Toyota,2022,84870,Oli bocor,Medium,Oil Change,536744,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Honda,2012,159853,Radiator bocor,Medium,Cooling System Repair,350086,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Honda,2016,199599,Radiator bocor,Low,Cooling System Repair,258572,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Toyota,2020,88485,Starter tidak berfungsi,High,Electrical Repair,657608,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Kawasaki,2009,146308,AC tidak dingin,Low,AC Repair,280411,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Toyota,2005,76844,Starter tidak berfungsi,Medium,Electrical Repair,490921,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Suzuki,2006,123023,Rem bunyi,Medium,Brake Service,317223,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Yamaha,2011,6951,Gigi transmisi macet,Low,Transmission Repair,151067,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Nissan,2013,97431,Radiator bocor,Low,Cooling System Repair,143602,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2018,126953,Mesin overheat,Medium,Engine Repair,463184,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Honda,2015,145047,Service rutin,Medium,General Checkup,436722,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Nissan,2020,129758,Stir berat,Medium,Power Steering Repair,390526,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Suzuki,2007,44849,Mesin overheat,Medium,Engine Repair,379787,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Nissan,2007,111418,AC tidak dingin,High,AC Repair,882522,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Suzuki,2012,51684,AC tidak dingin,High,AC Repair,941521,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Yamaha,2020,166089,AC tidak dingin,Low,AC Repair,203434,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Mitsubishi,2011,69921,Rem bunyi,Low,Brake Service,297690,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Honda,2018,124693,Radiator bocor,Medium,Cooling System Repair,506041,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2020,168890,Suspensi keras,Low,Suspension Repair,155008,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Suzuki,2013,98824,Kopling slip,Low,Transmission Repair,203942,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Honda,2017,64079,Stir berat,High,Power Steering Repair,785550,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Suzuki,2007,72811,Rem bunyi,Low,Brake Service,188474,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Toyota,2016,69481,Service rutin,Medium,General Checkup,449368,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Yamaha,2019,19573,Service rutin,Medium,General Checkup,572772,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Mitsubishi,2014,179567,Service rutin,Medium,General Checkup,384251,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Mitsubishi,2009,180593,AC tidak dingin,Low,AC Repair,141369,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Kawasaki,2015,114259,Stir berat,Medium,Power Steering Repair,585940,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Suzuki,2007,185288,Rem bunyi,Low,Brake Service,257716,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Honda,2016,57604,Oli bocor,Low,Oil Change,191969,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Daihatsu,2007,147434,Ban bocor,High,Tire Service,865549,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2023,96374,Gigi transmisi macet,High,Transmission Repair,773698,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2010,135894,Baterai soak,Medium,Battery Replacement,347258,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2021,132307,Starter tidak berfungsi,Medium,Electrical Repair,456641,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Nissan,2011,155772,Gigi transmisi macet,Medium,Transmission Repair,502637,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2023,99921,Rem bunyi,Low,Brake Service,253306,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Daihatsu,2015,69372,Suspensi keras,High,Suspension Repair,642895,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Mitsubishi,2022,115528,Service rutin,Medium,General Checkup,454462,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Honda,2011,40768,Mesin overheat,Medium,Engine Repair,357282,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Mitsubishi,2016,83959,Baterai soak,Low,Battery Replacement,267900,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Yamaha,2019,93279,Mesin overheat,Low,Engine Repair,144896,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Kawasaki,2016,84004,Kopling slip,Medium,Transmission Repair,593176,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2007,82338,Ban bocor,Low,Tire Service,125701,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Honda,2006,129441,Starter tidak berfungsi,Low,Electrical Repair,107174,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Daihatsu,2019,134585,Rem bunyi,Medium,Brake Service,540883,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Kawasaki,2011,64357,AC tidak dingin,High,AC Repair,813320,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Yamaha,2022,88095,Lampu mati,Low,Electrical Repair,224587,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Suzuki,2006,154994,Rem bunyi,Low,Brake Service,127849,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Mitsubishi,2023,88161,Starter tidak berfungsi,High,Electrical Repair,862502,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Yamaha,2015,61855,Gigi transmisi macet,High,Transmission Repair,727406,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2013,40538,Gigi transmisi macet,Medium,Transmission Repair,569148,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Kawasaki,2019,94330,Mesin overheat,Medium,Engine Repair,538673,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Honda,2019,17776,Mesin overheat,Medium,Engine Repair,300789,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Suzuki,2015,108945,AC tidak dingin,Low,AC Repair,224544,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Daihatsu,2022,73069,AC tidak dingin,Low,AC Repair,191711,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2013,151978,Ban bocor,High,Tire Service,853201,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2020,75829,Baterai soak,Medium,Battery Replacement,319299,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Toyota,2010,137996,Suspensi keras,Low,Suspension Repair,181328,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Kawasaki,2019,81337,Starter tidak berfungsi,High,Electrical Repair,800335,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Yamaha,2011,115603,AC tidak dingin,Medium,AC Repair,378973,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Mitsubishi,2014,26514,Radiator bocor,Medium,Cooling System Repair,387426,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2012,198889,Stir berat,Low,Power Steering Repair,137665,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Daihatsu,2020,194208,Starter tidak berfungsi,Medium,Electrical Repair,316821,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Suzuki,2007,133091,Starter tidak berfungsi,High,Electrical Repair,997906,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Daihatsu,2014,100615,Gigi transmisi macet,Medium,Transmission Repair,533284,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Mitsubishi,2014,64889,Baterai soak,Low,Battery Replacement,109062,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Suzuki,2007,146390,AC tidak dingin,High,AC Repair,889551,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Yamaha,2006,114325,Suspensi keras,Medium,Suspension Repair,474329,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2009,179614,Oli bocor,Low,Oil Change,214531,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Daihatsu,2018,43563,Baterai soak,High,Battery Replacement,840513,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Toyota,2005,152528,Ban bocor,Medium,Tire Service,482709,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Mitsubishi,2017,115653,Lampu mati,Low,Electrical Repair,259345,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Toyota,2023,172504,Ban bocor,Medium,Tire Service,526916,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Honda,2007,29886,Radiator bocor,Low,Cooling System Repair,208433,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Suzuki,2015,6922,Ban bocor,High,Tire Service,723504,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Honda,2010,75042,Service rutin,Medium,General Checkup,305510,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Toyota,2015,168188,Stir berat,Low,Power Steering Repair,192456,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Yamaha,2007,180408,Ban bocor,Low,Tire Service,250526,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2012,17639,Lampu mati,High,Electrical Repair,864740,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Mitsubishi,2015,155487,Gigi transmisi macet,Medium,Transmission Repair,478974,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2011,104056,Suspensi keras,Medium,Suspension Repair,393095,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Honda,2021,164403,Radiator bocor,Medium,Cooling System Repair,304254,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2018,77931,Baterai soak,Low,Battery Replacement,133378,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2005,130461,Starter tidak berfungsi,Low,Electrical Repair,209538,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Nissan,2023,184017,Ban bocor,High,Tire Service,823652,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2012,128079,Radiator bocor,Low,Cooling System Repair,274783,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Kawasaki,2020,143020,Kopling slip,Medium,Transmission Repair,456925,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Kawasaki,2018,50476,Rem bunyi,High,Brake Service,620608,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Honda,2011,43036,Radiator bocor,Low,Cooling System Repair,259011,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Mitsubishi,2007,48950,AC tidak dingin,Low,AC Repair,274664,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Toyota,2023,182294,Kopling slip,Medium,Transmission Repair,334512,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Nissan,2020,48336,Stir berat,Medium,Power Steering Repair,347899,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Mitsubishi,2020,138506,Suspensi keras,Medium,Suspension Repair,377177,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Honda,2021,132871,Rem bunyi,High,Brake Service,815449,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Kawasaki,2015,147754,AC tidak dingin,Low,AC Repair,269922,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Kawasaki,2016,159776,Suspensi keras,Medium,Suspension Repair,452923,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Daihatsu,2022,92552,AC tidak dingin,Medium,AC Repair,482577,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Yamaha,2017,55930,Ban bocor,Low,Tire Service,190814,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Honda,2006,131217,Stir berat,Medium,Power Steering Repair,408029,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Daihatsu,2019,53995,AC tidak dingin,Low,AC Repair,125308,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Nissan,2019,73200,Baterai soak,Medium,Battery Replacement,534988,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Daihatsu,2023,112313,Ban bocor,Low,Tire Service,293742,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Daihatsu,2018,17472,Kopling slip,Low,Transmission Repair,156637,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Suzuki,2009,67863,Mesin overheat,Medium,Engine Repair,525158,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Honda,2019,79179,Baterai soak,High,Battery Replacement,958858,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Toyota,2005,103265,Rem bunyi,Low,Brake Service,284918,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Suzuki,2018,6938,Kopling slip,Medium,Transmission Repair,514612,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Yamaha,2021,102283,Gigi transmisi macet,Medium,Transmission Repair,420947,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Yamaha,2013,63742,Radiator bocor,High,Cooling System Repair,981848,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Mitsubishi,2012,21185,AC tidak dingin,Low,AC Repair,135568,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Kawasaki,2008,195754,Oli bocor,High,Oil Change,928486,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Toyota,2007,120698,Service rutin,Low,General Checkup,212094,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Kawasaki,2009,41172,Starter tidak berfungsi,Low,Electrical Repair,275621,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Honda,2009,160277,Mesin overheat,Medium,Engine Repair,414665,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Yamaha,2016,50480,Kopling slip,Low,Transmission Repair,182912,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Yamaha,2012,41077,Stir berat,High,Power Steering Repair,833616,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2020,182093,AC tidak dingin,Medium,AC Repair,416941,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2009,189138,Mesin overheat,High,Engine Repair,731089,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Mitsubishi,2005,105811,Stir berat,Low,Power Steering Repair,137964,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Mitsubishi,2021,115599,AC tidak dingin,Low,AC Repair,284298,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Suzuki,2018,131985,Starter tidak berfungsi,Low,Electrical Repair,200930,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Honda,2013,14275,Suspensi keras,Low,Suspension Repair,187667,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Mitsubishi,2007,63203,Kopling slip,Medium,Transmission Repair,394037,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Nissan,2011,180966,Ban bocor,Low,Tire Service,127890,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2012,125866,Service rutin,Low,General Checkup,296882,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Yamaha,2017,32754,Suspensi keras,Medium,Suspension Repair,564854,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Suzuki,2013,171382,AC tidak dingin,Low,AC Repair,117925,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Suzuki,2023,121865,Suspensi keras,Medium,Suspension Repair,516301,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Nissan,2020,41114,Stir berat,Medium,Power Steering Repair,529847,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Kawasaki,2021,108611,Mesin overheat,Low,Engine Repair,145604,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Yamaha,2013,31046,Starter tidak berfungsi,Low,Electrical Repair,161335,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Kawasaki,2006,79578,Mesin overheat,Medium,Engine Repair,426065,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Nissan,2015,9013,Service rutin,High,General Checkup,878567,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Honda,2011,93552,Ban bocor,Low,Tire Service,132452,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Daihatsu,2013,113573,Rem bunyi,Low,Brake Service,104919,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Honda,2015,116716,Gigi transmisi macet,Low,Transmission Repair,271378,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Honda,2023,140476,Suspensi keras,Medium,Suspension Repair,377360,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2014,50880,Starter tidak berfungsi,Low,Electrical Repair,149074,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Mitsubishi,2019,127336,Baterai soak,Medium,Battery Replacement,429786,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Honda,2023,100130,Suspensi keras,High,Suspension Repair,886348,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Nissan,2013,38808,AC tidak dingin,High,AC Repair,609191,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Honda,2012,77697,Baterai soak,Low,Battery Replacement,102753,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Yamaha,2014,94142,Mesin overheat,Low,Engine Repair,202287,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Mitsubishi,2013,40302,Radiator bocor,Medium,Cooling System Repair,461320,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Suzuki,2021,192244,Starter tidak berfungsi,High,Electrical Repair,989124,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2009,24059,Radiator bocor,Low,Cooling System Repair,135526,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Daihatsu,2011,41624,Starter tidak berfungsi,Low,Electrical Repair,231880,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Honda,2019,79224,AC tidak dingin,Medium,AC Repair,410481,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Daihatsu,2016,37428,Gigi transmisi macet,Low,Transmission Repair,107893,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2017,71850,Starter tidak berfungsi,Medium,Electrical Repair,313189,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Toyota,2009,155196,Service rutin,Medium,General Checkup,506392,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Toyota,2007,7491,Kopling slip,Low,Transmission Repair,129051,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Nissan,2018,157302,Baterai soak,Low,Battery Replacement,145643,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Toyota,2015,175740,Service rutin,Medium,General Checkup,565903,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Honda,2012,117345,Radiator bocor,Medium,Cooling System Repair,588132,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Honda,2016,138771,AC tidak dingin,Low,AC Repair,118383,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2009,51174,Stir berat,Medium,Power Steering Repair,352027,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Yamaha,2008,132965,Lampu mati,Low,Electrical Repair,256849,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
